Merchant_ID,Merchant_Name,Industry,Merchant_Segment,Location_Region,Subscription_Start_Date,Months_Since_Subscription,POS_Terminal_Model,Avg_Monthly_Transaction_Volume,Avg_Monthly_Transaction_Value,Avg_Transaction_Value,Transaction_Frequency_Score,Uptime_Percentage,Customer_Support_Tickets_Monthly,Avg_Resolution_Time_Tickets_Days,Feature_Adoption_Score,Payment_Success_Rate,Payment_Failure_Rate,Dispute_Rate,Technical_Issues_Reported,Feedback_Score_Monthly,Days_Since_Last_Transaction,POS_Cost,Monthly_Rental_Fee,MDR_Rate,LTV,Churned,Churn_Reason
M-1040,Teach for India (Branch 3),Hospitality,Small,North,05-06-2023,6,Android Smart POS,673,289776.3467,430.5740664,0.194326354,99.77228431,3,3.169871967,0.601376211,95.48983344,4.510166565,2.802367411,2,2.614932016,240,19824,500,2,34773.1616,1,High Costs
M-1041,Pepperfry (Branch 3),Retail,Small,South,30-09-2023,3,Dynamic Soundbox,619,213462.3476,344.8503193,0.544236758,99.65769682,8,4.921364353,0.839370864,98.50039092,1.499609081,1.364608638,2,1.678644325,347,3827,250,2,12807.74086,1,High Costs
M-1042,Sqraeboat (Branch 2),Hospitality,Large,South,19-10-2023,2,Soundbox,428,367597.1558,858.8718593,0.35824165,95.48519517,7,5.548458384,0.596446249,92.46944199,7.530558007,1.264998703,1,4.020749097,167,2293,200,2,14703.88623,0,None
M-1043,Titan (Branch 3),Hospitality,Large,Central,01-08-2023,5,Soundbox,546,536123.4904,981.9111546,0.052089188,96.72547857,8,5.597336908,0.374992145,95.09004264,4.909957359,4.177975818,1,1.072798369,306,2293,200,2,53612.34904,1,Technical Issues
M-1044,Spencer's,Hospitality,Medium,West,26-12-2023,0,Soundbox,528,144144.2405,273.0004554,0.436448399,97.8507772,0,4.132441427,0.330908583,94.88201225,5.117987745,4.794004771,3,1.173586777,65,2293,200,2,0,0,None
M-1045,Oyo,Retail,Small,South,09-10-2023,2,Dynamic Soundbox,273,253655.7046,929.1417751,0.501564153,96.77281843,5,3.365478249,0.924882443,97.62982468,2.370175317,1.883199259,1,3.295657236,161,3827,250,2,10146.22818,0,None
M-1046,Lenskart,Healthcare,Large,South,01-10-2023,3,mPos,853,849623.9983,996.042202,0.937816965,95.02098061,1,6.312632586,0.066490795,98.57741928,1.422580725,1.409128395,0,1.449091033,249,5377,300,1.5,76466.15985,1,Better Competitor
M-1047,Coders Brain,Hospitality,Medium,East,31-07-2023,5,Soundbox,455,313312.4522,688.598796,0.715850016,98.73365175,4,6.489270284,0.140267213,94.83883618,5.161163824,2.965529776,1,3.173957831,313,2293,200,2,31331.24522,1,Low Usage
M-1048,Raymond (Branch 4),Healthcare,Large,South,16-10-2023,2,Android Smart POS,776,488575.2404,629.6072685,0.907962719,95.28665604,5,4.529883073,0.561755453,95.94317996,4.056820043,4.167034193,3,2.155266903,309,19824,500,1.5,29314.51442,1,Low Usage
M-1049,ITC (Branch 3),Education,Medium,East,20-08-2023,4,Pin on Mobile,636,512607.0068,805.9858598,0.419200007,96.45677294,2,1.275580193,0.111603199,91.68430528,8.315694717,2.520884102,1,4.396546545,85,0,0,1.2,30756.42041,0,None
M-1050,Swiggy,Retail,Large,North,26-05-2023,7,Soundbox,128,126616.2758,989.1896543,0.431061244,96.4980427,0,3.192264247,0.396926281,97.39386344,2.60613656,0.405074464,2,2.425574005,112,2293,200,2,17726.27861,0,None
M-1051,Masters Union,Hospitality,Small,East,04-01-2023,12,Dynamic Soundbox,366,102347.6657,279.6384308,0.306411667,97.45423821,5,2.318555884,0.650100553,98.13918906,1.860810938,0.427443187,0,1.866464143,40,3827,250,2,24563.43976,0,None
M-1052,Newton School,Food & Beverage,Medium,North,20-12-2023,0,Android Smart Mini POS,365,215014.2336,589.0800921,0.209758515,95.97557233,5,6.64387206,0.761541548,96.26607534,3.733924658,1.194644085,3,2.002033744,150,14224,400,1.8,0,0,None
M-1053,ITC (Branch 4),Hospitality,Large,Central,20-10-2023,2,Android Smart POS,166,146085.2927,880.031884,0.603188823,95.71384438,2,3.598029581,0.646607237,92.44736584,7.552634163,1.920534073,3,3.936598389,176,19824,500,2,5843.41171,0,None
M-1054,Urban Ladder (Branch 2),Retail,Medium,East,21-03-2023,9,Android Smart POS,431,137327.8191,318.6260303,0.702035668,98.55621849,4,5.04541937,0.336078388,91.52799246,8.472007542,2.90380546,5,2.765440315,351,19824,500,2,24719.00743,1,Better Competitor
M-1055,Flipkart (Branch 3),Hospitality,Small,South,12-05-2023,7,Dynamic Soundbox,474,258398.8123,545.1451736,0.869799154,99.39289819,4,2.167804197,0.18419653,92.59037652,7.40962348,1.242028026,1,3.739181609,298,3827,250,2,36175.83372,1,Technical Issues
M-1056,Marico,E-commerce,Large,South,09-02-2023,10,Pin on Mobile,464,214115.6977,461.456245,0.17245184,97.94641098,5,5.273127892,0.317073769,94.85555917,5.144440834,3.45460285,4,4.086199741,120,0,0,2.2,53528.92442,0,None
M-1057,HealthKart,Food & Beverage,Medium,Central,18-02-2023,10,Soundbox,450,313605.1077,696.9002393,0.235325551,97.7318395,0,2.406434466,0.53251487,91.02823608,8.971763921,2.746375041,0,1.005334558,313,2293,200,1.8,47040.76615,1,None
M-1058,My Operator (Branch 2),Retail,Large,Central,15-07-2023,5,Android Smart POS,635,319758.2565,503.5563095,0.838132526,96.5344896,5,4.420619749,0.648424418,96.10195534,3.898044662,4.412746572,0,3.816163973,221,19824,500,2,31975.82565,1,Technical Issues
M-1059,KC Overseas Education,Healthcare,Medium,West,03-03-2023,10,Android Smart POS,326,307030.877,941.8125061,0.931902684,97.51234369,3,2.119347473,0.636344315,94.50083102,5.499168978,0.516502389,0,1.790591124,246,19824,500,1.5,92109.2631,1,None
M-1060,More (Branch 2),Entertainment,Large,North,21-11-2023,1,Android Smart Mini POS,830,619770.0524,746.7109065,0.280460487,98.30143649,3,6.566272785,0.347524387,92.96207238,7.037927617,2.857193257,3,4.329047083,78,14224,400,1.8,11155.86094,0,None
M-1061,Decathlon (Branch 3),Healthcare,Large,North,13-06-2023,6,Android Smart POS,251,186645.0708,743.6058599,0.651885424,95.18946125,4,2.486265831,0.384300188,90.49807799,9.501922013,4.049358095,2,4.93670194,359,19824,500,1.5,33596.11275,1,Better Competitor
M-1062,Lenskart (Branch 2),Education,Small,South,26-01-2023,11,Pin on Mobile,792,283589.5936,358.0676687,0.430716622,97.45834462,0,6.407134732,0.260835163,97.81045652,2.189543481,3.221207004,1,2.029644921,356,0,0,1.2,46792.28294,1,Low Usage
M-1063,Forest Essentials,Hospitality,Large,Central,16-02-2023,10,Android Smart POS,642,336960.7838,524.8610339,0.873159359,95.15759613,5,5.425229125,0.002607463,95.65415491,4.345845094,2.942430819,3,3.148822226,1,19824,500,2,67392.15675,0,None
M-1064,Oyo (Branch 2),Healthcare,Medium,South,09-03-2023,9,mPos,507,287128.0555,566.3275256,0.567164546,99.4067631,4,6.819553441,0.63445314,96.87650031,3.123499691,0.419042167,2,2.725461826,16,5377,300,1.5,77524.57498,0,None
M-1065,Airtel (Branch 2),E-commerce,Large,North,08-10-2023,2,Pin on Mobile,354,158197.6954,446.8861453,0.607356383,95.90730872,1,1.382956208,0.330357689,92.08026308,7.919736922,4.444958193,2,1.219813815,18,0,0,2.2,7909.884772,0,None
M-1066,Upstox (Branch 2),Retail,Medium,Central,11-08-2023,4,Soundbox,803,398859.9366,496.7122498,0.730466701,97.01231362,5,2.677968442,0.609724048,96.18189804,3.818101963,2.296467806,5,4.070840206,37,2293,200,2,31908.79493,0,None
M-1067,Reliance (Branch 2),Entertainment,Small,West,14-10-2023,2,Android Smart POS,620,215328.4914,347.3040185,0.840361505,95.59562748,2,6.758361028,0.878992308,96.79214269,3.207857312,4.66736396,1,1.880517683,65,19824,500,1.8,7751.825692,0,None
M-1068,Netmeds (Branch 3),E-commerce,Large,Central,11-04-2023,8,mPos,691,350453.1578,507.1681011,0.770898404,95.69976864,2,2.229879659,0.685911606,95.04208008,4.957919918,1.019391713,1,2.684285593,109,5377,300,2.2,70090.63157,0,None
M-1069,Biitcode (Branch 3),Retail,Medium,West,15-06-2023,6,Soundbox,599,579797.5554,967.9424965,0.335049171,98.81487452,4,3.269030887,0.747745821,98.21606382,1.783936177,3.774658665,4,1.908505462,247,2293,200,2,69575.70665,1,Support Issues
M-1070,Airtel (Branch 3),Retail,Large,West,05-08-2023,4,Dynamic Soundbox,729,411512.2116,564.4886305,0.799740644,98.17315447,6,1.021677595,0.253694295,94.44502217,5.55497783,3.093436749,2,3.174144391,231,3827,250,2,32920.97693,1,Better Competitor
M-1071,Sqraeboat (Branch 3),Healthcare,Medium,Central,02-12-2023,0,Android Smart POS,427,423777.0767,992.4521702,0.280394179,99.78016165,3,5.517216667,0.657778407,95.2301016,4.769898401,2.649495879,0,4.373761775,216,19824,500,1.5,0,1,Better Competitor
M-1072,Xiomi,Healthcare,Large,West,16-11-2023,1,Android Smart POS,551,315450.551,572.5055372,0.999669643,96.9049468,0,3.321994356,0.503581777,91.71272799,8.287272008,4.381522115,0,4.173766365,94,19824,500,1.5,9463.516531,0,None
M-1073,Tata Motors (Branch 3),Retail,Small,South,17-12-2023,0,Dynamic Soundbox,561,115835.7026,206.4807533,0.616712331,95.45925184,10,2.423884965,0.437597744,97.70485799,2.29514201,0.837114739,2,2.062142422,244,3827,250,2,0,1,High Costs
M-1074,Forest Essentials (Branch 2),Education,Small,North,28-01-2023,11,Android Smart Mini POS,770,655958.0812,851.893612,0.927332615,98.44369236,3,2.470923677,0.505665743,90.29110759,9.708892409,3.234641705,5,4.720562214,59,14224,400,1.2,108233.0834,0,None
M-1075,Britannia,Food & Beverage,Medium,North,25-06-2023,6,Soundbox,626,291793.3741,466.1236007,0.592658648,97.42526546,0,6.5670536,0.257341988,92.42850108,7.57149892,2.056731244,6,1.973478854,101,2293,200,1.8,26261.40366,0,None
M-1076,FedEx (Branch 2),Healthcare,Medium,West,12-01-2023,11,mPos,533,405604.537,760.9841219,0.12225294,99.28405568,6,1.357837508,0.317730547,98.92036481,1.079635194,2.111639396,1,2.525473858,230,5377,300,1.5,133849.4972,1,High Costs
M-1077,Levi's (Branch 2),Hospitality,Small,South,07-10-2023,2,Soundbox,699,309898.8415,443.3459821,0.469014431,99.2817169,7,4.495310178,0.552940748,97.73424202,2.265757977,0.507860718,0,2.388112101,144,2293,200,2,12395.95366,0,None
M-1078,Forest Essentials (Branch 3),Healthcare,Large,West,15-11-2023,1,Android Smart POS,708,649563.971,917.4632359,0.052655759,95.69434881,7,4.589492757,0.619131551,90.30248696,9.697513039,1.984660255,5,2.264602767,363,19824,500,1.5,19486.91913,1,None
M-1079,Subway (Branch 3),Education,Small,West,26-10-2023,2,Android Smart Mini POS,610,319471.8439,523.7243343,0.429047994,96.11117081,6,6.102717507,0.145232869,90.26802709,9.731972914,4.667621564,1,3.106999,342,14224,400,1.2,9584.155318,1,Better Competitor
M-1080,Xiomi (Branch 2),Retail,Medium,South,23-12-2023,0,Soundbox,706,197488.4339,279.7286599,0.995171822,96.96204066,10,4.829505912,0.885761694,93.8095964,6.190403604,3.869625284,1,2.621078281,296,2293,200,2,0,1,Better Competitor
M-1081,Decathlon (Branch 4),E-commerce,Large,North,04-02-2023,11,Pin on Mobile,547,183666.591,335.7707331,0.009558186,96.16194485,3,6.522338989,0.879184918,94.11205099,5.887949005,2.054499525,0,3.220036346,131,0,0,2.2,50508.31253,0,None
M-1082,Dominos,Healthcare,Large,East,25-02-2023,10,Android Smart POS,396,281844.9165,711.7295872,0.570120485,95.55322573,4,6.453458227,0.19894971,96.69158237,3.308417631,4.425379313,0,2.236994071,143,19824,500,1.5,84553.47496,0,None
M-1083,Hey Coach,Entertainment,Large,West,29-04-2023,8,Android Smart Mini POS,595,260970.4064,438.6057251,0.746190483,99.85180954,0,1.685400135,0.140899638,97.68200727,2.317992727,2.943615452,0,4.494836702,134,14224,400,1.8,37579.73853,0,None
M-1084,Lenskart (Branch 3),Education,Small,East,06-09-2023,3,Android Smart Mini POS,484,112457.9154,232.351065,0.892793356,99.89168546,0,2.088922749,0.120382965,91.29219717,8.707802829,3.305135291,3,4.007305554,201,14224,400,1.2,5060.606195,1,High Costs
M-1085,Sqraeboat (Branch 4),Hospitality,Medium,Central,31-12-2023,0,Android Smart POS,586,241288.9674,411.7559171,0.221915623,98.30271244,4,3.956562544,0.381336977,91.66741358,8.332586419,1.776581322,0,2.350229014,18,19824,500,2,0,0,None
M-1086,BigBazar,Food & Beverage,Large,East,20-06-2023,6,Android Smart Mini POS,898,502507.8438,559.5855721,0.241671226,95.00694928,5,4.359784883,0.590655227,98.74844068,1.251559317,1.80739167,0,1.282137181,6,14224,400,1.8,45225.70594,0,None
M-1087,Swiggy (Branch 2),Education,Small,North,27-06-2023,6,Pin on Mobile,409,163495.6443,399.7448515,0.608904861,98.37008787,8,3.662769046,0.284908623,98.06413971,1.935860293,4.307821421,1,1.656159788,136,0,0,1.2,14714.60798,0,None
M-1088,Qshala (Branch 2),Education,Medium,South,14-09-2023,3,Pin on Mobile,448,438057.9129,977.8078414,0.558516153,96.82898249,3,6.332296568,0.453136331,92.83714766,7.162852344,4.706097644,2,3.049138972,132,0,0,1.2,19712.60608,0,None
M-1089,Decathlon (Branch 5),Education,Medium,West,16-01-2023,11,Pin on Mobile,540,231106.2908,427.9746126,0.389655915,95.00313336,1,6.178785495,0.448525608,93.27200664,6.727993355,4.973735257,0,3.284853298,186,0,0,1.2,38132.53798,1,High Costs
M-1090,Amazon (Branch 2),Healthcare,Medium,South,14-02-2023,10,mPos,777,367164.431,472.5410952,0.389160463,98.70377946,4,1.437902438,0.865169158,93.87182427,6.128175732,2.906464878,0,4.561256833,213,5377,300,1.5,110149.3293,1,Support Issues
M-1091,McDonald's,Hospitality,Large,South,02-08-2023,5,Android Smart POS,678,665603.6285,981.7162662,0.79658094,97.02366109,6,1.732322602,0.189333753,91.90368466,8.09631534,2.784453191,1,4.148226616,145,19824,500,2,66560.36285,0,None
M-1092,Marico (Branch 2),Food & Beverage,Medium,East,06-11-2023,1,Android Smart Mini POS,267,162478.9844,608.5355219,0.41666805,96.07389161,3,5.32451331,0.631289312,90.89695452,9.103045478,4.626933572,0,1.82516726,169,14224,400,1.8,2437.184765,0,None
M-1093,Tata Motors (Branch 4),Hospitality,Small,South,01-12-2023,1,Android Smart POS,574,200194.3125,348.7705792,0.909525559,99.05656486,3,4.940933839,0.653804659,90.85438809,9.145611914,1.594259045,1,4.971257849,191,19824,500,2,4003.88625,1,Support Issues
M-1094,Godrej (Branch 2),Education,Small,South,08-06-2023,6,Android Smart Mini POS,659,488392.581,741.1116555,0.763499075,96.5592133,0,1.875154804,0.95483921,90.68752995,9.312470046,0.479026779,4,4.098016425,308,14224,400,1.2,43955.33229,1,Low Usage
M-1095,Amazon (Branch 3),Education,Large,South,12-06-2023,6,Android Smart Mini POS,495,121111.9355,244.6705767,0.977723512,98.87390143,2,4.554672645,0.758763751,91.71645528,8.283544723,2.841041704,1,4.256843594,233,14224,400,1.2,10900.07419,1,Support Issues
M-1096,Godrej (Branch 3),Education,Small,South,12-06-2023,6,Android Smart Mini POS,329,135072.2671,410.5540033,0.338107991,95.52603448,2,5.183317965,0.207398718,98.33531173,1.664688275,1.07843157,0,4.074152388,102,14224,400,1.2,12156.50404,0,None
M-1097,Raymond (Branch 5),Retail,Medium,West,30-07-2023,5,Dynamic Soundbox,292,110382.9572,378.023826,0.709123841,95.41532142,7,2.504824795,0.252833783,95.65974527,4.340254732,3.810855527,4,4.505942452,268,3827,250,2,11038.29572,1,Low Usage
M-1098,Levi's (Branch 3),Entertainment,Large,East,19-03-2023,9,Android Smart POS,516,478293.0157,926.9244491,0.808513273,99.38387136,6,1.069759608,0.965902992,94.26177147,5.738228534,3.990914948,1,2.085842652,42,19824,500,1.8,77483.46855,0,None
M-1099,Urban Ladder (Branch 3),Food & Beverage,Small,North,10-11-2023,1,Soundbox,305,189809.8443,622.3273583,0.273038833,99.45162485,0,6.098518294,0.311978402,97.3571881,2.642811899,0.611364264,0,1.731154133,17,2293,200,1.8,2847.147664,0,None
M-1100,Teach for India (Branch 4),Hospitality,Large,Central,29-04-2023,8,Soundbox,486,193301.5407,397.7397957,0.973748214,96.94604725,4,4.593940544,0.241542813,94.41413573,5.585864274,0.370595872,1,2.59463715,160,2293,200,2,30928.24651,0,None
M-1101,Newton School (Branch 2),Food & Beverage,Large,North,03-07-2023,6,Android Smart POS,394,241742.8847,613.5606211,0.559294388,98.29166301,2,1.616921343,0.754362199,91.98931629,8.010683711,0.140508418,1,4.918455556,78,19824,500,1.8,21756.85962,0,None
M-1102,Subway (Branch 4),Entertainment,Medium,South,15-09-2023,3,Android Smart Mini POS,345,186653.5301,541.024725,0.131014554,98.42502703,3,3.737440264,0.531144633,91.31738345,8.682616552,0.698858305,2,1.385002333,40,14224,400,1.8,10079.29063,0,None
